Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Decade,Career_Length,Victims_Per_Year
Monster of the Mangones,Colombia,1963,1970,30,38,"Unidentified serial killer(s) who kidnapped, tortured, raped, and murdered at least 30 boys in Cali, Colombia.",1960,7,4.285714285714286
Milton Sipalo,Zambia,1980,1989,30,31,"Known as ""The Lusaka Strangler""; A soldier who raped and murdered women and girls in Lusaka. While awaiting trial, he jumped off of the roof of the police station where he was being interrogated, killing himself.",1980,9,3.3333333333333335
Luis Gregorio Ramírez Maestre,Colombia,2010,2012,30,30,Killed motorists in various municipalities before his 2012 capture. Was sentenced to 34 years in prison.,2010,2,15.0
David Thabo Simelane,Swaziland,2000,2001,28,45,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death.",2000,1,28.0
Zhang Jun,China,1993,2000,28,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001.",1990,7,4.0
Mariam Soulakiotis,Greece,1939,1951,27,177,"Known as ""Mother Rasputin""; abbess believed to have murdered wealthy women and children who came into her abbey. The true number of her victims is a matter of debate, but she was found guilty of 177 murders—150 through negligence (fraudulently claiming to offer free tuberculosis treatment when the 'treatment' only consisted of abiding in her high altitude convent) and 27 through starvation. Died in prison in 1954.",1930,12,2.25
Cedric Maake,South Africa,1996,1997,27,35,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison.",1990,1,27.0
Robert Pickton,Canada,1983,2002,26,49,"Known as the ""Pig Farmer Killer"" or the ""Butcher"", he killed women from mostly the Vancouver Downtown Eastside and would feed the remains to the pigs on his farm. In 2007, he was initially convicted for the deaths of 6 woman, but was later found guilty of the deaths of 20 other woman in 2010; however he confessed to 49 killings to an undercover police officer. In 2024, Pickton died of injuries received in an attack from another inmate.",1980,19,1.368421052631579
Bruce George Peter Lee,United Kingdom,1973,1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.",1970,6,4.333333333333333
The Stoneman,India,1985,1989,25,25,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders.",1980,4,6.25
Juan Corona,United States,1971,1980,25,25,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.,1970,9,2.7777777777777777
Fritz Haarmann,Germany,1918,1924,24,27,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925.",1910,6,4.0
Béla Kiss,Austria-Hungary,1912,1916,24,24,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.",1910,4,6.0
Majid Salek Mohammadi,Iran,1981,1985,24,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; killed himself before he could be sentenced.",1980,4,6.0
Yvan Keller,"France, Germany, Switzerland",1989,2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; killed himself before trial.",1980,17,1.3529411764705883
Ronald Dominique,United States,1997,2006,23,23,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms.",1990,9,2.5555555555555554
Juan Fernando Hermosa,Ecuador,1991,1992,23,23,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants.",1990,1,23.0
Gerald Stano,United States,1969,1980,22,88,"Confessed to killing 41 women, mostly in Florida and New Jersey. He was only convicted in 22 cases, and is suspected in the deaths of up to 88 victims. Some people have suggested that Stano was a serial confessor.",1960,11,2.0
Earle Nelson,"United States, Canada",1926,1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.",1920,1,22.0
Mikhail Novosyolov,"Soviet Union, Russia, Tajikistan",1977,1995,22,22,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment.",1970,18,1.2222222222222223
Manuel Octavio Bermúdez,Colombia,1999,2003,21,50,"Colombian child rapist and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia. Sentenced to 40 years in prison.",1990,4,5.25
Patrick Kearney,United States,1965,1977,21,43,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life.",1960,12,1.75
William Bonin,United States,1979,1980,21,36,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996.",1970,1,21.0
Vasile Tcaciuc,Romania,1917,1935,21,26,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.,1910,18,1.1666666666666667
Yoo Young-chul,South Korea,2003,2004,21,26,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession. Was sentenced to death and currently incarcerated.",2000,1,21.0
Francisco Guerrero Pérez,Mexico,1880,1908,21,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed sex workers in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.",1880,28,0.75
Ted Bundy,United States,1974,1978,20,67,"Bundy was an American serial killer known for his charisma and good looks. He officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. He was infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another. He was executed by electric chair in 1989.",1970,4,5.0
Abdullah Shah,Afghanistan,1990,0,20,20,"Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed on April 20, 2004.",1990,0,0.0
Mohan Kumar,India,2005,2009,20,20,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013.",2000,4,5.0
Bulelani Mabhayi,South Africa,2007,2012,20,20,"Known as the ""Monster of Thuleni""; killed 20 women and children from 2007 to 2012. Sentenced to 25 life sentences on September 3, 2013.",2000,5,4.0
Larry Eyler,United States,1982,1984,19,23,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.",1980,2,9.5
Cape Town Prostitute Killer,South Africa,1992,1996,19,20,"Unidentified serial killer who, on rainy nights, picked up sex workers and domestic workers in his vehicle, strangled them in parking lots, and dumped their bodies in rural, preselected spots.",1990,4,4.75
"""El Psicópata""",Costa Rica,1986,1996,19,19,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway.",1980,10,1.9
Sergei Ryakhovsky,"Soviet Union, Russia",1988,1993,19,19,"Known as the Balashikha Ripper, he was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005.",1980,5,3.8
Yevgeny Chuplinsky,Russia,1998,2006,19,19,"Known as the ""Novosibirsk Maniac""; killed sex workers in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment.",1990,8,2.375
M. Jaishankar,India,2008,2011,19,19,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Killed himself by slashing his wrists with a shaving blade in prison on 27 February 2018.",2000,3,6.333333333333333
Ansis Kaupēns,Latvia,1920,1926,19,19,Army deserter who committed 30 robberies and killed 19 people; one of the most infamous Latvian criminals; executed by hanging in 1927.,1920,6,3.1666666666666665
Vadim Ershov,Russia,1992,1995,19,19,"Known as the ""Krasnoyarsk Beast""; committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment.",1990,3,6.333333333333333
Velaphi Ndlangamandla,South Africa,1998,2007,19,19,"Known as ""The Saloon Killer""; robber who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment.",1990,9,2.111111111111111
Valery Kopytov,Russia,2000,2004,19,19,"Known as ""The Barnaul Chikatilo""; homeless man who killed other homeless people in Altai Krai.",2000,4,4.75
Randall Woodfield,United States,1979,1981,18,44,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders. Sentenced to imprisonment for life.",1970,2,9.0
Yavuz Yapıcıoğlu,Turkey,1994,2002,18,40,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives. Was sentenced to 74 years in prison.,1990,8,2.25
Paul John Knowles,United States,1974,1983,18,35,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents.",1970,9,2.0
Thierry Paulin,France,1984,1987,18,21,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial.",1980,3,6.0
Richard Nyauza,South Africa,2002,2006,18,19,"Known as ""The Quarry Murderer""; bludgeoned, beat, strangled, and stabbed 16 women and two unborn children to death and left their bodies in or around a quarry. Given 16 life sentences.",2000,4,4.5
Umesh Reddy,India,1996,2002,18,18,Confessed to 18 rapes and murders. Sentenced to death.,1990,6,3.0
Christopher Mhlengwa Zikode,South Africa,1994,1995,18,18,"Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook, KwaZulu Natal from 1994 to 1995. Was given 140 years (5 life sentences).",1990,1,18.0
Kotakethana murders,Sri Lanka,2008,2015,18,18,18 mysterious murders of women in the Rathnapura district of Sri Lanka. One middle age man suspect was arrested in 2015 and his DNA matched with six murders. Nine other cases remain unsolved.,2000,7,2.5714285714285716
Asande Baninzi,South Africa,2001,2010,18,18,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment.",2000,9,2.0
Vladimir Mirgorod,Russia,2002,2004,18,18,"Known as ""The Strangler""; raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment.",2000,2,9.0
Richard Cottingham,United States,1967,1980,17,92,"Killer operating in New York and New Jersey who often targeted sex workers and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", with 17 confirmed homicide victims including nine convictions and a further eight official confessions. He has made unsubstantiated claims of up to a hundred victims.",1960,13,1.3076923076923077
Huang Yong,China,2001,2003,17,25,"Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003. Executed by firing squad in 2003.",2000,2,8.5
Pedro Pablo Nakada Ludeña,Peru,2005,2006,17,25,"Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison.",2000,1,17.0
Darbara Singh,India,2004,2013,17,23,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 from an illness while serving a life sentence.,2000,9,1.8888888888888888
Robert Hansen,United States,1971,1983,17,21,"Sex workers he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 17 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014.",1970,12,1.4166666666666667
Sergei Dovzhenko,Ukraine,1992,2002,17,19,"Killed people because they were ""mocking"" him; sentenced to life imprisonment.",1990,10,1.7
Donato Bilancia,Italy,1997,1998,17,17,"Burglar who murdered 17 people, mainly sex workers, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life, he died due to COVID-19 in 2020.",1990,1,17.0
Irina Gaidamachuk,Russia,2002,2010,17,17,"Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison.",2000,8,2.125
Chen Fuzhao,China,2003,2012,17,17,Alleged Falun Gong fanatic who fatally poisoned 17 people in 2003.,2000,9,1.8888888888888888
Randy Steven Kraft,United States,1971,1983,16,67,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death.",1970,12,1.3333333333333333
Juana Barraza,Mexico,0,0,16,49,Mexican female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.,0,0,0.0
Michel Fourniret,"France, Belgium",1987,2001,16,19,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003. Sentenced to life and died of respiratory problems while in prison in 2021.,1980,14,1.1428571428571428
Sipho Agmatir Thwala,South Africa,1996,1997,16,19,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders and sentenced to life.",1990,1,16.0
Saeed Hanaei,Iran,2000,2001,16,19,"Confessed to luring 16 sex workers to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002.",2000,1,16.0
Maina Ramulu,India,2003,2020,16,18,"Convicted of murdering 16 women between 2003 and 2013 during three separate murder sprees. He was released from prison in 2020, and allegedly murdered two more women.",2000,17,0.9411764705882353
Jeffrey Dahmer,United States,1978,1991,16,17,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.,1970,13,1.2307692307692308
José Antonio Rodríguez Vega,Spain,1987,1988,16,16,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims. He was stabbed to death by two inmates while incarcerated in 2002.",1980,1,16.0
Carroll Cole,United States,1948,1980,16,16,"Killed 16 people in California, Nevada, and Texas. Executed by lethal injection in 1985.",1940,32,0.5
Elias Xitavhudzi,South Africa,1950,0,16,16,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960.",1950,0,0.0
Charles Ray Hatcher,United States,1969,1982,16,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; killed himself by hanging himself in prison in 1984.",1960,13,1.2307692307692308
Yuri Ivanov,Soviet Union,1974,1987,16,16,"Known as the ""Ust-Kamenogorsk Maniac""; Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987.",1970,13,1.2307692307692308
Robert Lee Yates,United States,1975,1998,16,16,"Killed sex workers in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences.",1970,23,0.6956521739130435
Farid Baghlani,Iran,2004,2008,16,16,"Known as the ""Cyclist killer""; murdered 15 women and 1 boy. Executed by hanging on November 13, 2010.",2000,4,4.0
Jimmy Maketta,South Africa,2005,2014,16,16,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.,2000,9,1.7777777777777777
Jack Mogale,South Africa,2008,2009,16,16,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault.",2000,1,16.0
Donald Henry Gaskins,United States,1953,1982,15,100,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 100 and 110 victims. Executed by electric chair in 1991.",1950,29,0.5172413793103449
Ravinder Kumar,India,2008,2015,15,30,Serial rapist who killed children of poor families.,2000,7,2.142857142857143
Atlanta Ripper,United States,1911,1920,15,21,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total.",1910,9,1.6666666666666667
Ángel Maturino Reséndiz,"United States, Mexico",1986,1999,15,18,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006.",1980,13,1.1538461538461537
Chester Turner,United States,1987,1998,15,15,Convicted of killing 15 people in Los Angeles in the 1980s and 1990s. Sentenced to death.,1980,11,1.3636363636363635
Alexander Labutkin,Soviet Union,1933,1935,15,15,"Known as the ""One-Armed Bandit""; killed people in the forest near the Prigorodny settlement using a revolver; executed 1935.",1930,2,7.5
Florencio Fernández,Argentina,1950,0,15,15,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest.",1950,0,0.0
Elifasi Msomi,South Africa,1953,1956,15,15,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.,1950,3,5.0
Abdullah Aksoy,Turkey,1962,1967,15,15,"Known as ""The Monster of Çumra""; killed fifteen men in Çumra from 1962 to 1967 after having sexual intercourse with them, then buried their bodies in his home; committed suicide in prison before being tried.",1960,5,3.0
